O'Bannon's: ,obannons,195263170744,Obannon's Tap House,30.617204,-96.347144,30.617228,-96.347447,30.617385,-96.347242,30.617255,-96.347084,30.61727,-96.347267
Paddock lane,Paddock_Lane,521255404593066,Paddock Lane,30.61728,-96.347395,30.617393,-96.347503,30.617491,-96.347357,30.617395,-96.347253,30.617386,-96.347379
The tipsy turtle,Tipsy_Turtle,tipsy.turtle.7,Tipsy Turtle,30.617393,-96.347503,30.617418,-96.347534,30.617524,-96.347397,30.617491,-96.347357,30.617451,-96.347465
Rebel draft house,Rebeldrafthouse,RebelDraftHouse,Rebel Draft House,30.618957,-96.346794,30.619071,-96.346925,30.619313,-96.346662,30.619206,-96.346532,30.619132,-96.34674
The Corner Bar,TheCornerCrew,thecornerbcs,The Corner,30.618449,-96.34553,30.618576,-96.345696,30.618732,-96.345506,30.618607,-96.345352,30.618607,-96.345515
Hookah station,HookahStation,111440935562577,Hookah Station,30.618626,-96.345767,30.618668,-96.345817,30.61884,-96.34562,30.618806,-96.345571,30.618745,-96.345685
Foundation Lounge,foundationbcs,FoundationLounge,Foundation Room,30.618674,-96.345817,30.618712,-96.345859,30.618884,-96.345668,30.618848,-96.345614,30.618784,-96.345732
Social Lounge,,,,30.618715,-96.345859,30.618771,-96.345916,30.618941,-96.345747,30.618892,-96.345671,30.618834,-96.345793
Gatsby's,GatsbysonNG,Gatsbysbcs,Gatsby's,30.618425,-96.346088,30.618468,-96.346131,30.61866,-96.345922,30.618615,-96.345867,30.618541,-96.346001
Sake bar,,159346940780314,Kyoto Sushi and Sake Bar,30.618482,-96.346127,30.618514,-96.346167,30.618698,-96.345987,30.618657,-96.345936,30.618596,-96.34605
Logan's on campus,LogansOnCampus,,Logan's On Campus,30.618577,-96.346288,30.618678,-96.346393,30.618866,-96.34619,30.618796,-96.346097,30.618745,-96.346251
Cedar lane,CedarLaneBar,48872754743,,30.619091,-96.346933,30.619178,-96.347037,30.619404,-96.346762,30.619324,-96.346669,30.619256,-96.346833
Basil whippets,BasilWhippets,111713695530894,Basil Whippet's Pub,30.618173,-96.345822,30.618318,-96.345978,30.618367,-96.345924,30.618228,-96.345769,30.618292,-96.345892
Mad hatters,MadHattersNG,madhattersbar,Mad Hatters,30.617955,-96.346097,30.618302,-96.346445,30.618327,-96.346404,30.618,-96.34606,30.618103,-96.34621
Dudley's Draw,,134200796598624,,30.617882,-96.346188,30.618219,-96.34654,30.618263,-96.346476,30.617929,-96.346125,30.618061,-96.346321
Dixie Chicken,thedixiechicken,135316609853334,The Dixie Chicken,30.617766,-96.346309,30.618118,-96.346642,30.61821,-96.346547,30.61787,-96.346191,30.617977,-96.346402
Dry Bean Saloon,,,The Dry Bean,30.617738,-96.346362,30.618058,-96.346699,30.618085,-96.346672,30.617754,-96.346334,30.617871,-96.346477
The Backyard on Northgate,,566883813371215,The Backyard,30.617532,-96.346518,30.617873,-96.346897,30.617873,-96.346897,30.617713,-96.346357,30.617794,-96.346617
Daisy Dukes,DaisyDukesBCS,DaisyDukesBCS,,30.617087,-96.347074,30.617076,-96.347592,30.617197,-96.347593,30.617193,-96.347076,30.617148,-96.347357
Wobbley Monkey,,wobbly.monkey.northgate,,30.616989,-96.347175,30.617043,-96.347241,30.617081,-96.347191,30.617034,-96.347132,30.617045,-96.347197
The ranch on north gate,,TheRanchNorthgate,,30.616929,-96.347251,30.617019,-96.347348,30.617069,-96.347275,30.616987,-96.347184,30.616982,-96.347266
Shotzis,,schotzis,,30.616719,-96.347498,30.61707,-96.347853,30.617149,-96.347694,30.616869,-96.347315,30.616947,-96.347582
Chimys,Chimys_,ChimysCollegeStation,,30.616558,-96.347874,30.616824,-96.348177,30.617088,-96.347896,30.616713,-96.347503,30.616833,-96.34791
Hurrican Harry's,HarrysBCS,HurricaneHarrys,,30.623136,-96.343741,30.623487,-96.344288,30.624374,-96.343293,30.624,-96.342691,30.623746,-96.34338